width,distance,movement_time
8,40,880
8,40,834
8,40,720
8,40,664
8,40,653
8,40,699
8,40,574
8,40,569
8,40,718
8,40,690
10,120,1272
10,120,888
10,120,1112
10,120,1369
10,120,936
10,120,965
10,120,930
10,120,1184
10,120,904
10,120,910
18,120,1047
18,120,935
18,120,816
18,120,930
18,120,790
18,120,753
18,120,711
18,120,778
18,120,815
18,120,761
14,60,599
14,60,730
14,60,606
14,60,754
14,60,725
14,60,595
14,60,599
14,60,577
14,60,560
14,60,600
18,40,786
18,40,724
18,40,603
18,40,582
18,40,582
18,40,610
18,40,560
18,40,560
18,40,575
18,40,577
14,160,1102
14,160,979
14,160,936
14,160,1191
14,160,990
14,160,986
14,160,1048
14,160,1169
14,160,1085
14,160,891
6,75,945
6,75,1190
6,75,778
6,75,1270
6,75,986
6,75,903
6,75,1137
6,75,1143
6,75,1026
6,75,1704
6,75,1158
20,120,1015
20,120,775
20,120,776
20,120,839
20,120,883
20,120,816
20,120,727
20,120,752
20,120,758
20,120,747
20,60,649
20,60,593
20,60,543
20,60,760
20,60,743
20,60,872
20,60,694
20,60,738
20,60,654
20,60,706
8,160,1168
8,160,1271
8,160,1056
8,160,897
8,160,943
8,160,1000
8,160,848
8,160,1176
8,160,1088
8,160,1049
10,160,993
10,160,912
10,160,1024
10,160,999
10,160,929
10,160,1000
10,160,976
10,160,969
10,160,1151
10,160,1096
18,210,975
18,210,1009
18,210,1001
18,210,991
18,210,990
18,210,963
18,210,1191
18,210,1162
18,210,1239
18,210,1016
8,120,1114
8,120,1083
8,120,996
8,120,894
8,120,834
8,120,1064
8,120,1137
8,120,861
8,120,1139
8,120,903
6,120,1049
6,120,1223
6,120,983
6,120,1114
6,120,1128
6,120,975
6,120,886
6,120,995
6,120,1183
6,120,929
14,40,698
14,40,480
14,40,464
14,40,584
14,40,582
14,40,522
14,40,441
14,40,577
14,40,422
14,40,433
20,40,510
20,40,441
20,40,364
20,40,394
20,40,368
20,40,632
20,40,521
20,40,430
20,40,530
20,40,455
20,40,430
20,40,627
6,40,625
6,40,839
6,40,719
6,40,545
6,40,496
6,40,672
6,40,1009
6,40,585
6,40,760
6,40,990
6,40,761
20,75,794
20,75,642
20,75,638
20,75,494
20,75,562
20,75,608
20,75,616
20,75,551
20,75,616
20,75,560
10,75,951
10,75,897
10,75,673
10,75,640
10,75,712
10,75,695
10,75,696
10,75,656
10,75,665
10,75,711
8,60,783
8,60,793
8,60,777
8,60,816
8,60,632
8,60,809
8,60,695
8,60,646
8,60,769
8,60,649
10,60,773
10,60,742
10,60,610
10,60,635
10,60,597
10,60,555
10,60,527
10,60,993
10,60,653
10,60,634
6,60,680
6,60,665
6,60,521
6,60,918
6,60,560
6,60,849
6,60,647
6,60,807
6,60,767
6,60,778
8,210,1296
8,210,1280
8,210,1145
8,210,1228
8,210,1004
8,210,952
8,210,887
8,210,793
8,210,1167
8,210,928
18,60,456
18,60,479
18,60,359
18,60,537
18,60,619
18,60,523
18,60,445
18,60,468
18,60,415
18,60,578
18,60,513
18,60,426
6,210,1288
6,210,1001
6,210,1313
6,210,1106
6,210,1039
6,210,1274
6,210,1171
6,210,978
6,210,889
6,210,943
6,210,896
6,160,1113
6,160,886
6,160,856
6,160,825
6,160,856
6,160,1296
6,160,1031
6,160,951
6,160,881
6,160,1024
6,160,824
6,160,928
20,160,847
20,160,721
20,160,704
20,160,729
20,160,768
20,160,625
20,160,669
20,160,611
20,160,589
20,160,697
8,75,768
8,75,967
8,75,566
8,75,723
8,75,776
8,75,728
8,75,743
8,75,675
8,75,677
8,75,857
10,40,751
10,40,480
10,40,440
10,40,432
10,40,552
10,40,465
10,40,712
10,40,514
10,40,727
10,40,695
10,40,649
18,75,600
18,75,686
18,75,602
18,75,585
18,75,574
18,75,641
18,75,582
18,75,579
18,75,660
18,75,636
18,75,680
18,75,720
18,75,625
18,160,885
18,160,852
18,160,850
18,160,794
18,160,800
18,160,763
18,160,717
18,160,735
18,160,753
18,160,687
20,210,839
20,210,958
20,210,842
20,210,768
20,210,816
20,210,809
20,210,805
20,210,970
20,210,801
20,210,901
14,120,656
14,120,670
14,120,708
14,120,621
14,120,602
14,120,671
14,120,608
14,120,750
14,120,729
14,120,606
14,120,744
14,120,656
10,210,872
10,210,1073
10,210,943
10,210,926
10,210,932
10,210,909
10,210,769
10,210,953
10,210,880
10,210,962
10,210,894
14,210,783
14,210,960
14,210,1001
14,210,1042
14,210,1158
14,210,958
14,210,970
14,210,815
14,210,768
14,210,905
14,75,656
14,75,431
14,75,538
14,75,546
14,75,682
14,75,526
14,75,769
14,75,695
14,75,874
14,75,624
14,75,664
8,210,1121
8,210,1186
8,210,1023
8,210,1044
8,210,1363
8,210,880
8,210,1217
8,210,1203
8,210,1345
8,210,802
6,160,1186
6,160,1093
6,160,1113
6,160,1056
6,160,1106
6,160,1106
6,160,1488
6,160,1142
6,160,927
6,160,1007
14,160,778
14,160,624
14,160,1009
14,160,881
14,160,1024
14,160,755
14,160,1025
14,160,705
14,160,1091
14,160,865
8,75,994
8,75,672
8,75,851
8,75,850
8,75,679
8,75,818
8,75,770
8,75,833
8,75,831
8,75,836
10,120,1378
10,120,845
10,120,1156
10,120,658
10,120,992
10,120,1059
10,120,768
10,120,1071
10,120,1301
10,120,895
14,210,1426
14,210,978
14,210,848
14,210,848
14,210,946
14,210,1073
14,210,1056
14,210,882
14,210,770
14,210,1136
14,60,899
14,60,560
14,60,575
14,60,723
14,60,503
14,60,675
14,60,539
14,60,686
14,60,575
14,60,543
6,40,849
6,40,801
6,40,655
6,40,678
6,40,767
6,40,877
6,40,676
6,40,576
6,40,784
6,40,720
18,210,895
18,210,850
18,210,801
18,210,767
18,210,866
18,210,930
18,210,1121
18,210,898
18,210,1042
18,210,977
8,40,881
8,40,562
8,40,544
8,40,576
8,40,735
8,40,708
8,40,541
8,40,564
8,40,785
8,40,625
8,40,639
18,120,832
18,120,736
18,120,886
18,120,606
18,120,673
18,120,703
18,120,786
18,120,994
18,120,866
18,120,713
6,60,1128
6,60,917
6,60,861
6,60,609
6,60,737
6,60,755
6,60,735
6,60,611
6,60,733
6,60,757
10,160,944
10,160,1092
10,160,1089
10,160,2310
10,160,1106
10,160,894
10,160,1108
10,160,880
10,160,1746
10,160,1203
10,160,1202
10,160,1331
14,120,659
14,120,785
14,120,866
14,120,784
14,120,657
14,120,830
14,120,631
14,120,542
14,120,849
14,120,848
8,120,1699
8,120,800
8,120,849
8,120,882
8,120,899
8,120,893
8,120,867
8,120,782
8,120,884
8,120,1731
8,160,853
8,160,766
8,160,995
8,160,1059
8,160,1039
8,160,816
8,160,682
8,160,801
8,160,993
8,160,965
20,60,560
20,60,547
20,60,529
20,60,657
20,60,656
20,60,866
20,60,720
20,60,673
20,60,703
20,60,804
10,60,852
10,60,831
10,60,820
10,60,655
10,60,739
10,60,669
10,60,869
10,60,687
10,60,709
10,60,878
18,160,682
18,160,717
18,160,837
18,160,687
18,160,802
18,160,624
18,160,770
18,160,768
18,160,848
18,160,709
18,40,435
18,40,482
18,40,526
18,40,468
18,40,480
18,40,445
18,40,484
18,40,400
18,40,478
18,40,466
10,210,1394
10,210,720
10,210,918
10,210,875
10,210,690
10,210,913
10,210,818
10,210,1074
10,210,979
10,210,997
10,210,709
10,40,815
10,40,861
10,40,784
10,40,753
10,40,608
10,40,787
10,40,674
10,40,735
10,40,626
10,40,640
14,40,495
14,40,641
14,40,624
14,40,564
14,40,527
14,40,561
14,40,512
14,40,513
14,40,482
14,40,528
8,60,623
8,60,659
8,60,575
8,60,542
8,60,709
8,60,847
8,60,786
8,60,914
8,60,941
6,75,867
6,75,1247
6,75,1075
6,75,1042
6,75,831
6,75,1075
6,75,688
6,75,690
6,75,847
6,75,768
20,120,687
20,120,834
20,120,594
20,120,642
20,120,751
20,120,736
20,120,673
20,120,849
20,120,737
20,120,1011
6,120,992
6,120,929
6,120,898
6,120,1058
6,120,818
6,120,992
6,120,1201
6,120,1522
6,120,979
6,120,915
6,120,1199
6,210,996
6,210,1331
6,210,1024
6,210,1152
6,210,1043
6,210,1008
6,210,1129
6,210,1155
6,210,1498
6,210,2034
10,75,849
10,75,674
10,75,829
10,75,804
10,75,527
10,75,723
10,75,879
10,75,836
10,75,834
10,75,799
20,40,416
20,40,462
20,40,435
20,40,433
20,40,385
20,40,446
20,40,466
20,40,467
20,40,605
20,40,450
20,40,530
20,160,849
20,160,768
20,160,921
20,160,783
20,160,722
20,160,640
20,160,659
20,160,799
20,160,835
20,160,897
20,160,832
20,75,564
20,75,493
20,75,530
20,75,560
20,75,498
20,75,880
20,75,690
20,75,496
20,75,720
20,75,529
14,75,653
14,75,701
14,75,741
14,75,733
14,75,644
14,75,734
14,75,901
14,75,704
14,75,770
14,75,688
20,210,881
20,210,928
20,210,816
20,210,707
20,210,752
20,210,769
20,210,835
20,210,879
20,210,819
20,210,768
18,60,764
18,60,501
18,60,782
18,60,531
18,60,720
18,60,559
18,60,627
18,60,653
18,60,581
18,60,496
18,75,573
18,75,554
18,75,649
18,75,703
18,75,630
18,75,767
18,75,626
18,75,528
18,75,479
18,75,562
6,120,1057
6,120,929
6,120,1031
6,120,809
6,120,1023
6,120,800
6,120,864
6,120,1065
6,120,791
6,120,945
6,120,840
6,120,686
6,120,809
8,75,631
8,75,733
8,75,632
8,75,622
8,75,704
8,75,784
8,75,753
8,75,675
8,75,815
8,75,632
8,75,593
8,75,767
8,75,808
8,75,657
8,75,623
20,160,729
20,160,568
20,160,719
20,160,617
20,160,686
20,160,715
20,160,654
20,160,1057
20,160,656
20,160,704
20,160,792
